Neighborhood,Total Population,Population over 65 (%),Non-white Population (%),Hispanic Population (%),No High School Education (%),Unemployment (%),Median Income,Temperature,Public Open Space (%),Private Open Space (%),Impervious Surfaces (%),Total SVI Flags,2016 Canopy Cover (%)
Allston,4906.75,2.474904067,41.72163925,13.42357129,3.878344273,7.175923494,50752.5,92.10589496,1.414428,5.483862,26.2106996,3.25,11.7086487
Back Bay,2983.666667,14.18952922,18.1082647,9.158427364,2.434390629,3.915578051,107243,91.94655146,0.5975197,0.7799199,19.3858501,2.5,15.5486252
Beacon Hill,2355.5,11.21117207,10.82977646,6.064255829,2.026988975,2.723146461,107615,92.20682079,8.1024689,1.2243354,14.5342963,1,20.5747329
Brighton,4205.307692,11.23593113,28.44862517,11.56491011,7.382799688,4.791196169,75445.92308,91.00586639,4.3808325,7.8778382,22.9340896,1.307692308,25.6016589
Charlestown,3235.666667,10.22922728,20.76806161,12.09391249,8.914937673,2.873125273,109861.3333,91.97009542,3.8963984,4.0465363,28.9321671,1.166666667,11.5612147
Chinatown,5622,15.36819637,63.19815012,3.486303806,42.39674593,10.43833581,25280,92.80528811,0.345864,0.5604957,19.6384817,8,6.8834354
Dorchester,4360.896552,10.88370186,71.99042452,18.91327323,19.31613863,9.783792981,54924.89655,91.60428122,3.5494475,10.0462641,23.7737192,3.75862069,21.0855624
Downtown,6315,15.04091116,30.80139817,6.08100174,10.28639063,8.172907731,102160.5,92.3456489,1.6596802,1.2847204,20.7242964,3,4.8826506
East Boston,3351.928571,8.588275532,34.70777986,52.85021351,28.68381429,5.44546199,60432.75,91.5187845,4.1823977,7.7242897,26.0907349,3.8125,8.4760468
Fenway,4138.875,4.521685518,35.16863968,10.84355663,6.182422542,11.63796708,39200.625,91.99746405,2.111124,1.481121,21.5172499,4.5,12.5517107
Hyde Park,4764.625,13.81024345,60.18786631,27.85381364,12.65545497,7.125475688,73605.28571,90.13810602,3.9658352,13.036083,15.1027886,1,41.4619561
Jamaica Plain,3380.5,15.97561304,34.04368448,20.45279547,6.855337446,7.177355318,94490.36364,90.67376258,3.3150899,6.7091127,19.7077843,1.416666667,34.3494606
Longwood,5500,0.381818182,24.89090909,9.145454545,1.661129568,15.65620542,40446,91.75390182,2.1276549,6.3507427,26.1007282,7,16.432907
Mattapan,4361.666667,11.71792981,85.04437766,18.6829198,15.38887237,14.68274153,51873.83333,90.89079764,8.2889391,9.907559,18.7639623,4.166666667,34.2892261
Mission Hill,4275.5,11.43688151,48.90773471,22.21593661,16.55894679,9.637543102,39001.5,91.70775004,4.5885533,5.3358998,25.0353004,5.25,21.2933636
North End,2337.75,11.7650429,6.667968172,7.400216272,3.996273101,1.619958533,100606.25,91.83966551,2.7342771,0.5142778,15.8570006,1.5,6.8009634
Roslindale,3697.75,12.45786925,44.09341169,26.31566857,10.99286541,5.490646492,73421.5,90.59984302,3.7585803,12.3508013,19.2925416,0.75,32.5024084
Roxbury,3365.9375,10.01898766,80.77128851,30.72147895,25.43536596,12.87288722,30400.33333,91.64970645,4.9180866,10.2443845,22.9325682,5.6875,24.6295116
South Boston,3063.076923,7.860340025,21.52947719,11.24396364,10.06424286,6.001843346,97001.81818,91.86366711,3.4809382,5.1030143,26.1550805,2.07689,12.5435104
South End,3594.111111,14.22896457,39.9891461,13.10318843,12.34515681,6.321048023,85618.33333,93.22215473,1.7901399,2.3232763,24.6098692,2.666666667,18.2168614
West End,3235.5,15.18441197,27.28016509,15.91901531,4.760774052,4.21865863,97106.5,91.18698542,1.4849355,2.9685163,25.1465425,3,10.567777
West Roxbury,4895.714286,19.34617644,24.87379852,9.452796069,7.924462571,4.776636469,90558.85714,89.97074325,7.5187026,12.4424917,15.842372,1.142857143,40.8597238
